ID,起点经度,起点维度,终点经度,终点维度,路段名,流畅指数,缓行指数,拥堵指数,未知指数,路况,路况描述
1,121.315,31.195,121.32,31.2,虹翟高架路：双向畅通。,75.00%,0.00%,0.00%,25.00%,缓行,轻度拥堵
2,121.355,31.22,121.36,31.225,北翟路：自西向东畅通。,50.00%,0.00%,0.00%,50.00%,缓行,轻度拥堵
3,121.485,31.26,121.49,31.265,四平路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
4,121.51,31.15,121.515,31.155,杨南路：自东向西畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
5,121.77,31.19,121.775,31.195,华夏高架路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
6,121.37,31.23,121.375,31.235,金沙江路：绿洲中环中心附近自西向东行驶缓慢。,87.50%,12.50%,0.00%,0.00%,缓行,轻度拥堵
7,121.41,31.22,121.415,31.225,万航渡路：曹杨路桥附近自西向东行驶缓慢。,77.78%,11.11%,0.00%,11.11%,缓行,轻度拥堵
8,121.48,31.15,121.485,31.155,济阳路：华夏西路附近自南向北行驶缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
9,121.485,31.265,121.49,31.27,欧阳路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
10,121.55,31.205,121.555,31.21,白杨路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
11,121.57,31.21,121.575,31.215,内环高架路：双向畅通。,85.71%,0.00%,0.00%,14.29%,缓行,轻度拥堵
12,121.34,31.17,121.345,31.175,沪渝高速：从嘉闵高架路出口到外环沪青平立交桥行驶缓慢；沪青平公路：外环沪青平立交桥附近自西向东行驶缓慢；吴中路：金虹桥广场附近自东向西行驶缓慢。,40.00%,60.00%,0.00%,0.00%,拥挤,中度拥堵
13,121.36,31.19,121.365,31.195,虹桥路：市第一中级法院附近自东向西行驶缓慢。,50.00%,50.00%,0.00%,0.00%,缓行,轻度拥堵
14,121.37,31.225,121.375,31.23,同普路：从真北路到泾阳路畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
15,121.39,31.26,121.395,31.265,中环路：军工路隧道附近内圈方向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
16,121.42,31.185,121.425,31.19,吴中路：金虹桥广场附近自东向西行驶缓慢；虹桥路：市第一中级法院附近自东向西行驶缓慢。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
17,121.435,31.18,121.44,31.185,沪闵高架路：自北向南畅通。,84.62%,7.69%,0.00%,7.69%,缓行,轻度拥堵
18,121.435,31.29,121.44,31.295,中环路：军工路隧道附近内圈方向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
19,121.465,31.245,121.47,31.25,西藏北路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
20,121.505,31.29,121.51,31.295,国权路：从邯郸路到四平路行驶缓慢。,83.33%,16.67%,0.00%,0.00%,缓行,轻度拥堵
21,121.515,31.205,121.52,31.21,浦东南路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
22,121.515,31.29,121.52,31.295,国顺路：自西向东拥堵；国定东路：自南向北缓慢，反向畅通；国定路：从政本路到四平路行驶缓慢。,80.00%,13.33%,6.67%,0.00%,缓行,轻度拥堵
23,121.53,31.31,121.535,31.315,中原路：双向畅通。,83.33%,0.00%,0.00%,16.67%,缓行,轻度拥堵
24,121.355,31.185,121.36,31.19,吴中路：金虹桥广场附近自东向西行驶缓慢；虹桥路：市第一中级法院附近自东向西行驶缓慢。,90.00%,10.00%,0.00%,0.00%,缓行,轻度拥堵
25,121.375,31.195,121.38,31.2,虹桥路：市第一中级法院附近自东向西行驶缓慢。,80.00%,20.00%,0.00%,0.00%,缓行,轻度拥堵
26,121.39,31.2,121.395,31.205,虹桥路：市第一中级法院附近自东向西行驶缓慢；水城路：水霞公园附近自北向南行驶缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
27,121.4,31.205,121.405,31.21,仙霞路：仲盛大厦附近自南向北行驶缓慢。,83.33%,16.67%,0.00%,0.00%,缓行,轻度拥堵
28,121.405,31.235,121.41,31.24,枣阳路：从兰溪路到金沙江路严重拥堵。,75.00%,0.00%,12.50%,12.50%,缓行,轻度拥堵
29,121.41,31.21,121.415,31.215,玉屏南路：自西向东缓慢，反向畅通。,90.91%,9.09%,0.00%,0.00%,缓行,轻度拥堵
30,121.415,31.19,121.42,31.195,虹桥路：市第一中级法院附近自东向西行驶缓慢。,85.71%,14.29%,0.00%,0.00%,缓行,轻度拥堵
31,121.415,31.195,121.42,31.2,虹桥路：市第一中级法院附近自东向西行驶缓慢。,87.50%,12.50%,0.00%,0.00%,缓行,轻度拥堵
32,121.43,31.25,121.435,31.255,内环高架路：恒丰北路立交桥附近外圈方向行驶缓慢，从南浦大桥到杨浦大桥畅通；石泉路：从岚皋路到光新路行驶缓慢。,75.00%,25.00%,0.00%,0.00%,缓行,轻度拥堵
33,121.43,31.255,121.435,31.26,光新路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
34,121.435,31.26,121.44,31.265,宜川路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
35,121.44,31.225,121.445,31.23,乌鲁木齐北路：紫安大厦附近自北向南行驶缓慢；延平路：自南向北缓慢，反向畅通。,84.21%,15.79%,0.00%,0.00%,缓行,轻度拥堵
36,121.44,31.26,121.445,31.265,沪太路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
37,121.445,31.23,121.45,31.235,常德路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
38,121.45,31.26,121.455,31.265,柳营路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
39,121.45,31.27,121.455,31.275,南北高架路：从广中西路到共和新路立交桥严重拥堵。,83.33%,0.00%,16.67%,0.00%,拥挤,中度拥堵
40,121.455,31.235,121.46,31.24,恒丰路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
41,121.46,31.235,121.465,31.24,南北高架路：从天目中路立交桥到北京西路严重拥堵。,90.91%,0.00%,9.09%,0.00%,缓行,轻度拥堵
42,121.46,31.24,121.465,31.245,南北高架路：从天目中路立交桥到北京西路严重拥堵，从共和新路立交桥到天目中路立交桥行驶缓慢；梅园路：自南向北缓慢，反向畅通。,81.25%,12.50%,6.25%,0.00%,缓行,轻度拥堵
43,121.46,31.245,121.465,31.25,南北高架路：从共和新路立交桥到天目中路立交桥行驶缓慢；秣陵路：从大统路到梅园路行驶缓慢。,83.33%,16.67%,0.00%,0.00%,缓行,轻度拥堵
44,121.465,31.225,121.47,31.23,南北高架路：从徐家汇路到延安东路立交桥行驶缓慢，从北京西路到延安东路立交桥行驶缓慢。,84.21%,10.53%,5.26%,0.00%,缓行,轻度拥堵
45,121.465,31.27,121.47,31.275,洛川中路：闸北公园西门附近自东向西行驶缓慢。,91.67%,8.33%,0.00%,0.00%,缓行,轻度拥堵
46,121.475,31.235,121.48,31.24,福建中路：从福州路到福建北路行驶缓慢；浙江中路：从南苏州路到福州路行驶缓慢。,77.78%,22.22%,0.00%,0.00%,缓行,轻度拥堵
47,121.475,31.275,121.48,31.28,内环高架路：逸仙高架路出口附近外圈方向严重拥堵，共和新路立交桥附近外圈方向行驶缓慢。,70.00%,20.00%,10.00%,0.00%,缓行,轻度拥堵
48,121.475,31.28,121.48,31.285,水电路：双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
49,121.48,31.235,121.485,31.24,福建中路：从福州路到福建北路行驶缓慢。,91.67%,8.33%,0.00%,0.00%,缓行,轻度拥堵
50,121.505,31.3,121.51,31.305,国定路：从财大国定路校区到复旦大学新闻学院双向畅通。,100.00%,0.00%,0.00%,0.00%,通畅,整体畅通
